,GEOID,geometry,minutes,count in 30,gravity_doc,fca_doc,2sfca_doc,2sfca30_doc,g2sfca_doc,3sfca_doc,raam_doc
7,17031807500,"POLYGON ((-87.7330165270235 42.02624707741794, -87.73296452556528 42.02806407801969, -87.73291052410667 42.029879078620986, -87.73281352119655 42.03351007982251, -87.72677451627409 42.03352008056283, -87.72315351329536 42.03356008101783, -87.72324651626795 42.02992607982065, -87.7233565192569 42.02628707861966, -87.72344052241102 42.02241307734508, -87.72665552498121 42.02239007694026, -87.73311653011888 42.02237807613786, -87.7330165270235 42.02624707741794))",14.38,4.0,,0.0005031791775307625,0.0003951260904774815,0.0005877059322476213,0.0006841482914529653,0.0006025186684984981,0.014852271857928302
9,17031440300,"POLYGON ((-87.62454578004224 41.750959989715405, -87.62138577903615 41.75100699009473, -87.61815377799647 41.75106299048566, -87.61495777697334 41.75111399087063, -87.61481878405081 41.74563798926421, -87.61467478877854 41.741983988270334, -87.61452779589177 41.73650298677193, -87.6177587968724 41.736454986376636, -87.61937479736274 41.73643098617889, -87.62099279785488 41.73640598598062, -87.62416479889457 41.736298985575644, -87.62433178941102 41.743654987610114, -87.62454578004224 41.750959989715405))",16.24,6.0,inf,0.0005438813349814586,0.0002312705977913206,0.0003304605008536862,0.0005246448924352807,0.00039602744633373817,0.039806565432208084
25,17197883209,"POLYGON ((-88.18040180785447 41.55077440500824, -88.172580810679 41.55082040150288, -88.1707888114354 41.55086840068436, -88.16597381328658 41.55093339850911, -88.16114781509876 41.55098239633397, -88.16102080609173 41.54793339759109, -88.16065477659295 41.53796540173711, -88.16059477210881 41.53645140236696, -88.16622277067262 41.5364184046496, -88.16939176987265 41.53640240593338, -88.1798707670627 41.536289410198826, -88.1801017669967 41.53628541029333, -88.17986077264635 41.538262409455484, -88.1800807875243 41.54354440756957, -88.1800997886807 41.54395540742393, -88.18033180339759 41.549188405569105, -88.18036580556442 41.549959405296356, -88.18040180785447 41.55077440500824))",0.0,1.0,inf,0.001322314049586777,0.0005454793399699986,0.0010068566940867306,0.0011521701276647916,0.0008486676491332696,0.04054188115477526
92,17031480300,"POLYGON ((-87.59279679415579 41.73315898843674, -87.58926879308532 41.7332189888733, -87.58567679201377 41.73326598931388, -87.58556679196286 41.73328098933101, -87.58552979439919 41.731447988843456, -87.58549179684206 41.72960998835472, -87.58544279922597 41.727813987878605, -87.58543480043986 41.7269029876351, -87.5854138016596 41.72598498739128, -87.58514380517612 41.723295986702574, -87.58745180584118 41.72326598641311, -87.5887128022491 41.72621998705482, -87.59062179838114 41.72952198771458, -87.59279679415579 41.73315898843674))",26.71,6.0,,0.0018920357121740674,0.0010567521316454506,0.0015441299610509081,0.0017417100261554739,0.001571516695684306,0.006131316814488717
116,17031803605,"POLYGON ((-88.0338996723083 42.119412078142304, -88.03389967116128 42.12211007918121, -88.03390866869036 42.1279330814224, -88.0339096683227 42.128799081755744, -88.03388966541915 42.135604084378464, -88.0338646638618 42.13923608577991, -88.02255065792087 42.13914008705261, -88.02179465751597 42.13915208714472, -88.0210106573544 42.13857008701273, -88.01576565623996 42.134792086178116, -88.01422665579648 42.13396108604048, -88.01431265851426 42.12788008371056, -88.00995265625396 42.12786008421659, -88.01034865784787 42.12472308297545, -88.01067465821842 42.1242670827632, -88.01347065986204 42.123822082262265, -88.01512466035321 42.124653082383325, -88.01920566247489 42.124636081893655, -88.01920766271611 42.12408508168273, -88.02306366464639 42.124237081284015, -88.02411366552295 42.12346708086449, -88.02412566715722 42.11970107941961, -88.02413966855512 42.11648407818491, -88.03069267124481 42.11804207799832, -88.03410867265929 42.118839077896695, -88.0338996723083 42.119412078142304))",21.4,3.0,,0.00033886818027787193,0.00037571830728855846,0.0002960491503004983,0.0002928387229910076,0.00025501655165457613,0.08034291789733998
141,17097864516,"POLYGON ((-87.98488362447506 42.160589099112244, -87.98482562087491 42.1681821019717, -87.98481862018915 42.16963510251851, -87.98480661904428 42.172060103431136, -87.98480661812808 42.174017104166815, -87.9760436120739 42.17199410415342, -87.97439561110757 42.17126510402136, -87.97355361072452 42.17066510386903, -87.96721560842055 42.16504410231732, -87.96558060782233 42.16363010193271, -87.96517360763788 42.163352101864625, -87.96414461044895 42.15600209922081, -87.96339761036808 42.15498609890914, -87.96209461006578 42.15354809849038, -87.96535361258151 42.15358109821306, -87.97995662391118 42.15361509692825, -87.98499362781972 42.15362609648486, -87.98488362447506 42.160589099112244))",0.0,2.0,,0.0007406623637710295,0.00045862540682288196,0.00046922945509673345,0.00046535663103470474,0.00042239037227220674,0.07942515541654185
181,17031060900,"POLYGON ((-87.64961954401352 41.9511980612479, -87.6478485422954 41.951642061633024, -87.64503153955204 41.95235206224716, -87.64435153863911 41.95272706247114, -87.64073753484263 41.95385106333871, -87.63741852623549 41.94873311656367, -87.64098554299306 41.947370060896944, -87.64220654440822 41.9468720605602, -87.6423785446404 41.94677506050278, -87.64442554683457 41.946081059990775, -87.6455485453089 41.94792906053852, -87.64737954725159 41.94732506008676, -87.64948554864813 41.94731505982171, -87.64961954401352 41.9511980612479))",28.24,18.0,726.4338459180328,0.0038640702558228332,0.002158685843024945,0.0016730180686505484,0.0010030430291617387,0.001717386640463409,0.5315468422444765
182,17031063302,"POLYGON ((-87.64185755687427 41.93655405676568, -87.63943355528768 41.93658705707748, -87.63870155481465 41.93659205716979, -87.63779855487495 41.93607805709008, -87.6380025571159 41.93437205643001, -87.63795455886748 41.932932055900054, -87.6393265597482 41.93292005572629, -87.64134256108207 41.93287005545895, -87.6413735604626 41.93338905564818, -87.64138755934361 41.934305055987174, -87.64180255877353 41.93498205618776, -87.64185755687427 41.93655405676568))",19.89,20.0,,0.004401766736512052,0.0024491690376431093,0.002807572088088864,0.0035173937613126554,0.002920158758745181,0.009880874130616984
185,17197880105,"POLYGON ((-88.12544295445747 41.70296589649217, -88.12001895299802 41.703623897792916, -88.10866594989395 41.705036900524696, -88.102527948181 41.70582890200982, -88.09692794664879 41.70650590334495, -88.09677195132235 41.700856901146665, -88.09667795360168 41.69809890007698, -88.0963809599297 41.69043789711322, -88.10225096104206 41.69022689589049, -88.10965996239428 41.69001989436996, -88.11668096352805 41.6900018929995, -88.11755128721143 41.689868299017476, -88.11910896230394 41.69198389331938, -88.12139696169947 41.69318389335582, -88.12138896023613 41.69498689407816, -88.1244089564457 41.700287895617684, -88.12544295445747 41.70296589649217))",24.45,3.0,,0.00057509400575094,0.0005211772408374816,0.000668606538264992,0.0007671143187939967,0.000715709216717626,0.027883024768023533
187,17031650100,"POLYGON ((-87.72296077165394 41.78593699131886, -87.71805676978845 41.78601399191707, -87.71311976790847 41.786091992519516, -87.7128967678219 41.78609699254728, -87.71284977180817 41.782460991212936, -87.71277177477442 41.77974199022007, -87.71272577576035 41.77883198989007, -87.71289677582136 41.778830989869896, -87.7178537776627 41.77873498926026, -87.72275977946387 41.77865798866356, -87.72286277556074 41.78229598999039, -87.72296077165394 41.78593699131886))",21.79,7.0,96.76416028488022,0.0006852248394004283,0.0003920281982193598,0.00037865045840615344,0.0004016453460820793,0.00027495891562254865,0.42131251706127404
